Date,Country,Region,Region Code,lat,long,Region code,ISO Code,Map Region,Population,Area,Total Cases,Deaths,Recovered,Tests,Tested People,Active Cases,Hospitalized,Quarantined,Intensive Care,Other Hospitalized,Prev Total Cases,Previous Daily Cases,Daily Cases,Daily Deaths,Daily Recovered,Daily Tests,Daily Tested People,Daily Active Cases,Daily Hospitalized,Daily Quarantined,Daily Intensive Care,Daily Other Hospitalized,Weekly Cases,Weekly Deaths,Weekly Recovered,Weekly Tests,Weekly Tested People,Weekly Active Cases,Weekly Hospitalized,Weekly Quarantined,Weekly Intensive Care,Weekly Other Hospitalized,Last Update,note_it,note_en
2020-02-24,ITA,Lombardia,3,45.46679409,9.190347404,3,IT-25,Lombardia,10060574,23864,172,6,0,1463,,166,95,71,19,76,114,60,58,4,0,,,0,,,0,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Marche,11,43.61675973,13.5188753,11,IT-57,Marche,1525271,9401,0,0,0,16,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Molise,14,41.55774754,14.65916051,14,IT-67,Molise,305617,4461,0,0,0,0,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Piemonte,1,45.0732745,7.680687483,1,IT-21,Piemonte,4356406,25387,3,0,0,141,,3,2,1,0,2,3,2,0,0,0,,,0,,,0,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Puglia,16,41.12559576,16.86736689,16,IT-75,Puglia,4029053,19541,0,0,0,0,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Sardegna,20,39.21531192,9.110616306,20,IT-88,Sardegna,1639591,24100,0,0,0,1,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Sicilia,19,38.11569725,13.362356699999998,19,IT-82,Sicilia,4999891,25832,0,0,0,5,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Toscana,9,43.76923077,11.25588885,9,IT-52,Toscana,3729641,22987,0,0,0,140,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,P.A. Trento,4,46.06893511,11.12123097,24,IT-32,Trentino-Alto Adige,541380,6207,0,0,0,3,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Umbria,10,43.10675841,12.38824698,10,IT-55,Umbria,882015,8464,0,0,0,0,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Valle d'Aosta,2,45.73750286,7.320149366,2,IT-23,Valle d'Aosta,125666,3261,0,0,0,7,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-24,ITA,Veneto,5,45.43490485,12.33845213,5,IT-34,Veneto,4905854,18020,33,1,0,2200,,32,16,16,4,12,25,7,8,0,0,,,0,,,0,,,,,,,,,,,,2020-02-24 18:00:00,,
2020-02-25,ITA,Abruzzo,13,42.35122196,13.39843823,13,IT-65,Abruzzo,1311580,10832,0,0,0,5,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Basilicata,17,40.63947052,15.80514834,17,IT-77,Basilicata,562869,10073,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,P.A. Bolzano,4,46.49933453,11.35662422,4,IT-32,Trentino-Alto Adige,533050,7400,1,0,0,1,,1,1,0,0,1,0,-3,1,0,0,0,,1,1,0,0,1,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Calabria,18,38.90597598,16.59440194,18,IT-78,Calabria,1947131,15222,0,0,0,2,,0,0,0,0,0,0,,0,0,0,1,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Campania,15,40.83956555,14.25084984,15,IT-72,Campania,5801692,13671,0,0,0,10,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Emilia-Romagna,8,44.49436681,11.341720800000001,8,IT-45,Emilia-Romagna,4489477,22453,26,0,0,391,,26,17,9,2,15,18,9,8,0,0,243,,8,5,3,0,5,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Friuli Venezia Giulia,6,45.6494354,13.76813649,6,IT-36,Friuli-Venezia Giulia,1215220,7924,0,0,0,89,,0,0,0,0,0,0,,0,0,0,31,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Lazio,12,41.89277044,12.48366722,12,IT-62,Lazio,5879082,17232,3,0,1,124,,2,2,0,1,1,3,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,2020-02-25 18:00:00,,
2020-02-25,ITA,Liguria,7,44.41149315,8.9326992,7,IT-42,Liguria,1550640,5416,1,0,0,39,,1,1,0,0,1,0,,1,0,0,38,,1,1,0,0,1,,,,,,,,,,,2020-02-25 18:00:00,,
